Log_ID,Timestamp,Username,IP_Address,Country,Login_Status,Failed_Attempts,Device,OS,Browser,Risk_Score,Attack_Type,Threat_Label
1,2026-01-10 09:49:00,priya,192.168.64.237,Russia,Failed,8,Mobile,macOS,Firefox,92,Credential Stuffing,Threat
2,2026-01-18 22:08:00,komal,192.168.61.219,India,Failed,5,Desktop,Ubuntu,Edge,80,Malware,Threat
3,2026-01-11 14:20:00,priya,192.168.31.88,China,Success,1,Mobile,Android,Chrome,23,Safe,Safe
4,2026-01-06 19:23:00,test,192.168.180.209,Japan,Failed,7,Desktop,Ubuntu,Chrome,85,Malware,Threat
5,2026-01-31 00:50:00,amit,192.168.162.202,USA,Success,1,Desktop,Ubuntu,Chrome,39,Safe,Safe
6,2026-01-19 04:28:00,alice,192.168.163.125,UK,Success,3,Mobile,Android,Firefox,14,Safe,Safe
7,2026-01-12 09:34:00,vijay,192.168.117.146,Germany,Success,1,Desktop,Android,Chrome,34,Safe,Safe
8,2026-01-20 20:45:00,sneha,192.168.207.161,Germany,Failed,6,Mobile,Ubuntu,Safari,96,Phishing,Threat
9,2026-01-02 19:57:00,sneha,192.168.60.105,Japan,Failed,7,Mobile,Ubuntu,Edge,71,Phishing,Threat
10,2026-01-08 21:20:00,aditya,192.168.83.49,India,Failed,8,Desktop,Android,Safari,84,Brute Force,Threat
11,2026-01-08 09:48:00,guest,192.168.173.170,Australia,Success,1,Laptop,Windows,Safari,9,Safe,Safe
12,2026-01-01 18:08:00,anita,192.168.208.238,Germany,Failed,7,Laptop,Linux,Firefox,73,Brute Force,Threat
13,2026-01-30 13:40:00,rohit,192.168.93.37,Brazil,Failed,6,Mobile,Android,Firefox,82,Phishing,Threat
14,2026-01-23 15:32:00,komal,192.168.135.74,China,Failed,6,Laptop,Linux,Firefox,86,Brute Force,Threat
15,2026-02-04 14:30:00,test,192.168.91.236,Japan,Failed,6,Laptop,Linux,Chrome,83,Credential Stuffing,Threat
16,2026-01-03 08:53:00,vijay,192.168.200.13,China,Failed,6,Desktop,macOS,Chrome,89,Malware,Threat
17,2026-01-04 21:29:00,sneha,192.168.208.48,Brazil,Success,2,Desktop,macOS,Firefox,38,Safe,Safe
18,2026-01-17 17:42:00,test,192.168.70.185,Nigeria,Failed,6,Desktop,Android,Edge,74,Credential Stuffing,Threat
19,2026-01-14 02:02:00,rohit,192.168.238.96,Nigeria,Success,1,Laptop,macOS,Chrome,13,Safe,Safe
20,2026-01-21 14:38:00,alice,192.168.210.12,Russia,Failed,6,Mobile,Linux,Edge,99,Brute Force,Threat
21,2026-01-03 07:08:00,pooja,192.168.108.9,Japan,Success,3,Mobile,macOS,Chrome,3,Safe,Safe
22,2026-01-01 16:20:00,priya,192.168.70.243,Russia,Failed,8,Mobile,Linux,Safari,95,Brute Force,Threat
23,2026-01-30 15:11:00,alice,192.168.52.8,USA,Success,2,Laptop,Ubuntu,Firefox,15,Safe,Safe
24,2026-01-06 17:26:00,rohit,192.168.70.140,Russia,Success,3,Laptop,Android,Safari,34,Safe,Safe
25,2026-01-25 19:17:00,sneha,192.168.242.61,Brazil,Failed,4,Mobile,Windows,Chrome,94,Credential Stuffing,Threat
26,2026-01-16 02:25:00,aditya,192.168.52.227,Russia,Success,2,Desktop,Android,Edge,1,Safe,Safe
